subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_9,subcarrier_10,timestamp
-108.0,64.0,9.0,-4.0,20.0,-7.0,-9.0,8.0,1416.12
94.0,-32.0,5.0,23.0,10.0,11.0,17.0,2.0,1416.12
120.0,-128.0,7.0,-26.0,8.0,-12.0,-18.0,1.0,1416.13
125.0,-48.0,7.0,-13.0,-10.0,-19.0,-13.0,0.0,1416.13
94.0,-32.0,5.0,-23.0,6.0,-21.0,-24.0,3.0,1416.14
124.0,-63.0,23.0,-10.0,21.0,-13.0,-9.0,12.0,1416.14
94.0,-32.0,5.0,0.0,-13.0,-8.0,3.0,-17.0,1416.15
98.0,32.0,6.0,-8.0,3.0,-5.0,-6.0,7.0,1416.15
-68.0,-64.0,11.0,1.0,-22.0,0.0,-5.0,-31.0,1416.17
94.0,-32.0,5.0,-16.0,12.0,-18.0,-15.0,9.0,1416.18
94.0,-32.0,5.0,-12.0,-16.0,-4.0,-17.0,-17.0,1416.18
94.0,-32.0,5.0,-22.0,2.0,-27.0,-14.0,-8.0,1416.19
94.0,-32.0,5.0,-8.0,13.0,-10.0,-18.0,11.0,1416.19
-57.0,112.0,12.0,-11.0,7.0,-3.0,-6.0,8.0,1416.2
86.0,96.0,5.0,8.0,22.0,-1.0,2.0,19.0,1416.2
-57.0,112.0,12.0,-8.0,8.0,-16.0,-13.0,15.0,1416.21
-51.0,-48.0,12.0,-1.0,1.0,4.0,4.0,1.0,1416.22
-68.0,-64.0,11.0,-3.0,2.0,-1.0,2.0,4.0,1416.22
94.0,-32.0,5.0,-1.0,-1.0,2.0,0.0,-7.0,1416.23
94.0,-32.0,5.0,5.0,-5.0,-1.0,-1.0,-8.0,1416.23
94.0,-32.0,5.0,2.0,0.0,-8.0,-6.0,0.0,1416.24
94.0,-32.0,5.0,-7.0,-1.0,-6.0,-1.0,9.0,1416.24
94.0,-32.0,5.0,-2.0,-4.0,-1.0,6.0,1.0,1416.25
86.0,96.0,5.0,3.0,1.0,0.0,4.0,-4.0,1416.25
-57.0,112.0,12.0,-3.0,4.0,0.0,2.0,3.0,1416.26
94.0,-32.0,5.0,-29.0,-10.0,-20.0,-17.0,-8.0,1416.26
108.0,-64.0,6.0,-4.0,-14.0,-14.0,-20.0,-13.0,1416.27
125.0,-48.0,7.0,-5.0,-18.0,7.0,6.0,-9.0,1416.28
-111.0,16.0,9.0,-9.0,17.0,-14.0,-11.0,8.0,1416.28
-128.0,0.0,8.0,-22.0,-16.0,-12.0,-17.0,-17.0,1416.29
-128.0,0.0,8.0,-12.0,-18.0,-6.0,-6.0,-9.0,1416.29
-51.0,-48.0,12.0,8.0,-11.0,-7.0,4.0,-11.0,1416.3
-128.0,0.0,8.0,-15.0,0.0,-14.0,-14.0,-3.0,1416.3
-128.0,0.0,8.0,-13.0,8.0,0.0,-1.0,4.0,1416.31
-128.0,0.0,8.0,1.0,2.0,5.0,1.0,-4.0,1416.32
94.0,-32.0,5.0,10.0,-2.0,6.0,-1.0,-7.0,1416.32
-51.0,-48.0,12.0,0.0,-1.0,-3.0,-1.0,-3.0,1416.33
-128.0,0.0,8.0,1.0,-1.0,-1.0,-2.0,-2.0,1416.34
94.0,-32.0,5.0,-5.0,0.0,-4.0,4.0,5.0,1416.34
94.0,-32.0,5.0,-7.0,-2.0,-3.0,2.0,11.0,1416.35
86.0,96.0,5.0,7.0,-26.0,10.0,7.0,-7.0,1416.36
23.0,114.0,33.0,-19.0,12.0,-17.0,-17.0,13.0,1416.37
-128.0,0.0,8.0,21.0,-12.0,9.0,13.0,-20.0,1416.4
-128.0,0.0,8.0,2.0,1.0,5.0,7.0,-4.0,1416.42
94.0,-32.0,5.0,2.0,-4.0,5.0,4.0,-10.0,1416.43
-128.0,0.0,8.0,6.0,-5.0,-3.0,-2.0,-2.0,1416.43
86.0,96.0,5.0,-7.0,-3.0,-10.0,-2.0,4.0,1416.44
20.0,65.0,17.0,1.0,-9.0,-1.0,-6.0,-2.0,1416.44
3.0,50.0,32.0,-8.0,3.0,-6.0,-2.0,2.0,1416.45
23.0,114.0,33.0,-5.0,0.0,-6.0,-8.0,7.0,1416.45
94.0,-32.0,5.0,-7.0,-4.0,-3.0,-4.0,5.0,1416.46
-128.0,0.0,8.0,-8.0,1.0,-7.0,-5.0,8.0,1416.46
120.0,-128.0,7.0,23.0,7.0,22.0,25.0,14.0,1416.47
98.0,32.0,6.0,2.0,13.0,9.0,1.0,-3.0,1416.48
-116.0,-64.0,8.0,-13.0,-4.0,-25.0,-28.0,-2.0,1416.51
94.0,-32.0,5.0,-19.0,-9.0,-19.0,-19.0,-10.0,1416.51
98.0,32.0,6.0,-4.0,20.0,-3.0,-4.0,20.0,1416.52
124.0,-64.0,7.0,-21.0,-4.0,-27.0,-19.0,-5.0,1416.52
-122.0,96.0,8.0,4.0,-5.0,17.0,27.0,-13.0,1416.53
-102.0,-96.0,9.0,12.0,-5.0,8.0,10.0,-8.0,1416.53
-10.0,96.0,15.0,-15.0,8.0,-17.0,-18.0,7.0,1416.54
